Value,Tolerence,numBands
0.5,5,4
1,5,4
1.1,5,4
1.2,5,4
1.3,5,4
1.5,5,4
1.6,5,4
1.8,5,4
2,5,4
2.2,5,4
2.4,5,4
2.7,5,4
3,5,4
3.3,5,4
3.6,5,4
3.9,5,4
4.3,5,4
4.7,5,4
5.1,5,4
5.6,5,4
6.2,5,4
6.8,5,4
7.5,5,4
8.2,5,4
8.2,5,4
9.1,5,4
10,5,4
10,5,4
11,5,4
12,5,4
13,5,4
15,5,4
16,5,4
18,5,4
20,5,4
22,5,4
24,5,4
27,5,4
30,5,4
33,5,4
39,5,4
43,5,4
47,5,4
47,5,4
51,5,4
56,5,4
62,5,4
68,5,4
75,5,4
82,5,4
91,5,4
91,5,4
100,5,4
100,5,4
110,5,4
120,5,4
130,5,4
150,5,4
150,5,4
160,5,4
180,5,4
200,5,4
220,5,4
240,5,4
240,5,4
270,5,4
300,5,4
330,5,4
360,5,4
390,5,4
390,5,4
430,5,4
470,5,4
510,5,4
560,5,4
620,5,4
680,5,4
750,5,4
820,5,4
910,5,4
1k,1,4
1k,5,4
1.1k,5,4
1.2k,5,4
1.3k,5,4
1.5k,5,4
1.6k,5,4
1.8k,5,4
2,1,4
2.0k,5,4
2.2k,5,4
2.2k,5,4
2.4k,5,4
2.7k,5,4
3.0k,5,4
3.2k,5,4
3.3k,5,4
3.6k,5,4
3.6k,5,4
3.9k,5,4
4.3k,5,4
4.3k,5,4
4.7k,5,4
5.1k,5,4
5.6k,5,4
6.2k,5,4
6.8k,5,4
7.5k,5,4
8.2k,5,4
9.1k,5,4
10k,1,4
10.0k,5,4
10.0k,5,4
11.0k,5,4
12.0k,5,4
13.0k,5,4
15.0k,5,4
16.0k,5,4
18.0k,5,4
20.0k,5,4
22.0k,5,4
24.0k,5,4
27.0k,5,4
27.0k,5,4
